82.000 & -3.327 & -1.744 & -2.644 & -1.215 & -2.800
83.000 & -3.062 & -2.758 & -2.510 & -0.668 & -2.700
84.000 & -3.579 & -1.954 & -2.506 & -1.118 & -2.800
85.000 & -3.393 & -2.742 & -2.340 & -0.934 & -2.700
86.000 & -3.173 & -2.287 & -2.837 & -1.206 & -2.800
87.000 & -3.206 & -1.842 & -3.294 & -1.107 & -2.700
88.000 & -3.545 & -2.663 & -2.261 & -1.009 & -2.800
89.000 & -3.394 & -2.467 & -2.567 & -1.021 & -2.900
90.000 & -3.427 & -2.022 & -3.024 & -0.923 & -2.800
91.000 & -3.575 & -3.074 & -2.032 & -0.973 & -2.900
92.000 & -3.374 & -2.895 & -2.328 & -0.952 & -3.000
93.000 & -3.225 & -2.552 & -2.731 & -1.094 & -3.100
94.000 & -3.277 & -2.225 & -3.040 & -0.996 & -3.000
95.000 & -3.604 & -3.499 & -1.485 & -1.010 & -3.100
96.000 & -3.828 & -3.085 & -2.008 & -0.970 & -3.000
97.000 & -3.880 & -2.759 & -2.317 & -0.871 & -2.900
98.000 & -3.677 & -2.574 & -2.618 & -0.871 & -3.000
99.000 & -3.729 & -2.247 & -2.927 & -0.773 & -2.900
100.000 & -4.088 & -3.613 & -1.167 & -1.022 & -3.000
101.000 & -4.187 & -3.334 & -1.290 & -1.179 & -3.100
102.000 & -4.460 & -2.830 & -1.956 & -1.121 & -3.000
103.000 & -4.301 & -2.609 & -2.268 & -1.132 & -3.100
104.000 & -4.156 & -2.249 & -2.673 & -1.292 & -3.200
105.000 & -4.208 & -1.922 & -2.982 & -1.194 & -3.100
106.000 & -4.129 & -2.879 & -2.604 & -0.443 & -3.000
107.000 & -3.971 & -2.792 & -2.835 & -0.361 & -3.100
108.000 & -3.803 & -2.371 & -3.289 & -0.600 & -3.200
109.000 & -4.271 & -2.938 & -2.192 & -0.634 & -3.300
110.000 & -4.323 & -2.611 & -2.501 & -0.535 & -3.200
111.000 & -4.121 & -2.431 & -2.797 & -0.514 & -3.300
112.000 & -4.154 & -1.986 & -3.254 & -0.415 & -3.200
113.000 & -4.640 & -2.576 & -2.156 & -0.497 & -3.300
114.000 & -4.575 & -2.116 & -2.991 & -0.227 & -3.200
115.000 & -4.372 & -1.930 & -3.292 & -0.226 & -3.300
116.000 & -4.821 & -3.259 & -1.561 & -0.548 & -3.400
117.000 & -4.761 & -3.066 & -1.890 & -0.581 & -3.500
118.000 & -4.693 & -2.581 & -2.411 & -1.191 & -3.600
119.000 & -4.744 & -2.255 & -2.720 & -1.093 & -3.500
120.000 & -4.777 & -1.809 & -3.177 & -0.994 & -3.400
121.000 & -4.805 & -2.731 & -2.849 & -0.509 & -3.300
122.000 & -4.654 & -2.535 & -3.155 & -0.521 & -3.400
123.000 & -4.706 & -2.209 & -3.463 & -0.423 & -3.300
124.000 & -4.845 & -2.696 & -2.816 & -0.389 & -3.400
125.000 & -4.666 & -2.218 & -3.329 & -0.712 & -3.500
126.000 & -4.401 & -3.232 & -3.196 & -0.165 & -3.400
127.000 & -4.228 & -2.837 & -3.670 & -0.415 & -3.500
128.000 & -4.512 & -3.500 & -2.622 & -0.458 & -3.600
129.000 & -4.293 & -3.045 & -3.119 & -0.730 & -3.700
130.000 & -4.053 & -2.589 & -3.618 & -1.020 & -3.800
131.000 & -4.192 & -3.077 & -2.971 & -0.986 & -3.900
132.000 & -4.033 & -2.856 & -3.282 & -0.998 & -4.000
133.000 & -4.085 & -2.529 & -3.591 & -0.899 & -3.900
134.000 & -4.339 & -3.225 & -2.711 & -0.746 & -4.000
135.000 & -4.171 & -2.805 & -3.165 & -0.985 & -4.100
136.000 & -4.204 & -2.359 & -3.622 & -0.887 & -4.000
137.000 & -4.398 & -3.227 & -2.707 & -0.793 & -4.100
138.000 & -4.450 & -2.901 & -3.015 & -0.694 & -4.000
139.000 & -4.483 & -2.456 & -3.473 & -0.595 & -3.900
140.000 & -4.843 & -3.110 & -2.420 & -0.644 & -4.000
141.000 & -4.685 & -3.023 & -2.652 & -0.562 & -4.100
142.000 & -4.506 & -2.545 & -3.165 & -0.885 & -4.200
143.000 & -4.427 & -3.501 & -2.787 & -0.135 & -4.100
144.000 & -4.354 & -3.016 & -3.266 & -0.702 & -4.200
145.000 & -4.150 & -2.831 & -3.568 & -0.701 & -4.300
146.000 & -4.202 & -2.504 & -3.877 & -0.603 & -4.200
147.000 & -4.676 & -3.122 & -2.738 & -0.710 & -4.300
148.000 & -4.502 & -2.727 & -3.212 & -0.960 & -4.400
149.000 & -4.424 & -3.684 & -2.833 & -0.210 & -4.300
150.000 & -4.317 & -3.314 & -3.249 & -0.404 & -4.400
151.000 & -4.078 & -2.858 & -3.748 & -0.694 & -4.500
152.000 & -4.438 & -3.512 & -2.696 & -0.743 & -4.600
153.000 & -4.471 & -3.067 & -3.153 & -0.644 & -4.500
154.000 & -4.523 & -2.740 & -3.462 & -0.545 & -4.400
155.000 & -4.575 & -2.414 & -3.771 & -0.447 & -4.300
156.000 & -5.014 & -3.187 & -2.574 & -0.592 & -4.400
157.000 & -4.855 & -2.965 & -2.886 & -0.604 & -4.500
158.000 & -4.687 & -2.545 & -3.340 & -0.843 & -4.600
159.000 & -4.608 & -3.501 & -2.961 & -0.093 & -4.500
160.000 & -4.592 & -2.855 & -3.797 & 0.059 & -4.400
161.000 & -4.962 & -4.223 & -2.039 & -0.203 & -4.500
162.000 & -4.836 & -3.736 & -2.568 & -0.790 & -4.600
163.000 & -4.634 & -3.556 & -2.864 & -0.769 & -4.700
164.000 & -4.431 & -3.371 & -3.165 & -0.769 & -4.800
165.000 & -4.252 & -2.893 & -3.678 & -1.092 & -4.900
166.000 & -4.690 & -3.444 & -2.585 & -1.133 & -5.000
167.000 & -4.522 & -3.024 & -3.039 & -1.372 & -5.100
168.000 & -4.574 & -2.697 & -3.348 & -1.274 & -5.000
169.000 & -4.626 & -2.371 & -3.656 & -1.175 & -4.900
170.000 & -5.074 & -3.674 & -1.948 & -1.479 & -5.000
171.000 & -4.951 & -3.271 & -2.412 & -1.870 & -5.100
172.000 & -4.984 & -2.825 & -2.870 & -1.771 & -5.000
173.000 & -4.719 & -3.839 & -2.737 & -1.224 & -4.900
174.000 & -4.655 & -3.379 & -3.571 & -0.953 & -4.800
175.000 & -4.707 & -3.052 & -3.880 & -0.855 & -4.700
176.000 & -5.033 & -4.326 & -2.324 & -0.869 & -4.800
177.000 & -5.170 & -3.849 & -3.166 & -0.681 & -4.700
178.000 & -5.012 & -3.762 & -3.398 & -0.598 & -4.800
179.000 & -5.064 & -3.435 & -3.707 & -0.500 & -4.700
180.000 & -4.844 & -2.980 & -4.204 & -0.772 & -4.800
181.000 & -5.153 & -3.644 & -3.150 & -0.861 & -4.900
182.000 & -4.951 & -3.464 & -3.446 & -0.840 & -5.000
183.000 & -4.712 & -3.009 & -3.945 & -1.130 & -5.100
184.000 & -4.745 & -2.563 & -4.402 & -1.031 & -5.000
185.000 & -5.004 & -3.498 & -3.423 & -1.059 & -5.100
186.000 & -4.765 & -3.042 & -3.922 & -1.349 & -5.200
187.000 & -5.135 & -4.410 & -2.164 & -1.611 & -5.300
188.000 & -5.014 & -4.003 & -2.640 & -1.872 & -5.400
189.000 & -4.908 & -3.633 & -3.056 & -2.066 & -5.500
190.000 & -4.960 & -3.307 & -3.365 & -1.968 & -5.400
191.000 & -4.881 & -4.263 & -2.986 & -1.217 & -5.300
192.000 & -4.730 & -4.067 & -3.292 & -1.230 & -5.400
193.000 & -4.823 & -3.688 & -3.756 & -1.200 & -5.300
194.000 & -4.856 & -3.242 & -4.213 & -1.101 & -5.200
195.000 & -5.183 & -4.516 & -2.658 & -1.115 & -5.300
196.000 & -5.051 & -4.326 & -2.989 & -1.109 & -5.400
197.000 & -5.103 & -4.000 & -3.298 & -1.010 & -5.300
198.000 & -4.900 & -3.815 & -3.599 & -1.010 & -5.400
199.000 & -4.732 & -3.394 & -4.053 & -1.249 & -5.500
200.000 & -4.784 & -3.068 & -4.362 & -1.151 & -5.400
201.000 & -5.232 & -4.371 & -2.654 & -1.454 & -5.500
202.000 & -5.030 & -4.191 & -2.949 & -1.433 & -5.600
203.000 & -5.063 & -3.745 & -3.407 & -1.334 & -5.500
204.000 & -4.844 & -3.290 & -3.904 & -1.607 & -5.600
205.000 & -4.895 & -2.964 & -4.213 & -1.508 & -5.500
206.000 & -4.817 & -3.920 & -3.834 & -0.758 & -5.400
207.000 & -4.615 & -3.741 & -4.130 & -0.737 & -5.500
208.000 & -4.667 & -3.414 & -4.439 & -0.639 & -5.400
209.000 & -5.027 & -4.780 & -2.679 & -0.888 & -5.500
210.000 & -5.185 & -4.310 & -3.471 & -0.733 & -5.400
211.000 & -5.278 & -3.930 & -3.935 & -0.703 & -5.300
212.000 & -5.058 & -3.475 & -4.432 & -0.976 & -5.400
